word,meaning,pronunciation,example,cefr
whereas,trong khi,/weərˈæz/,"Whereas I agree, he does not.",C1
authority,quyen luc,/ɔːˈθɒrəti/,"Local authority approved it.",C1
circumstance,hoan canh,/ˈsɜːkəmstæns/,"Under normal circumstances.",C1
consistent,nhat quan,/kənˈsɪstənt/,"Be consistent with rules.",C1
decline,suy giam,/dɪˈklaɪn/,"Sales declined last year.",C1
design,thiet ke,/dɪˈzaɪn/,"Good design matters.",C1
device,thiet bi,/dɪˈvaɪs/,"This device is portable.",C1
economic,kinh te,/ˌiːkəˈnɒmɪk/,"Economic growth slowed.",C1
element,yeu to,/ˈelɪmənt/,"A key element of success.",C1
estimate,uoc luong,/ˈestɪmeɪt/,"Estimate the cost.",C1
export,xuat khau,/ˈekspɔːrt/,"Export goods abroad.",C1
external,ben ngoai,/ɪkˈstɜːrnl/,"External factors matter.",C1
feature,dac diem,/ˈfiːtʃər/,"A useful feature.",C1
finance,tai chinh,/ˈfaɪnæns/,"Study personal finance.",C1
formula,cong thuc,/ˈfɔːrmjələ/,"Learn the formula.",C1
hypothesis,gia thuyet,/haɪˈpɒθəsɪs/,"Test the hypothesis.",C1
individual,ca nhan,/ˌɪndɪˈvɪdʒuəl/,"Every individual is unique.",C1
initial,ban dau,/ɪˈnɪʃl/,"Initial results look good.",C1
interpret,giai thich,/ɪnˈtɜːrprət/,"Interpret the chart.",C1
legal,hop phap,/ˈliːɡl/,"Seek legal advice.",C1
major,chinh,/ˈmeɪdʒər/,"A major decision.",C1
period,giai doan,/ˈpɪəriəd/,"During this period.",C1
proportion,ti le,/prəˈpɔːrʃn/,"A large proportion agreed.",C1
region,vung,/ˈriːdʒən/,"A rural region.",C1
role,vai tro,/roʊl/,"Play an active role.",C1
section,phan,/ˈsekʃn/,"Read section two.",C1
transfer,chuyen,/trænsˈfɜːr/,"Transfer the file.",C1
variety,da dang,/vəˈraɪəti/,"Eat a variety of foods.",C1
volume,khoi luong,/ˈvɒljuːm/,"Volume increased sharply.",C1
